"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FS","2018-05-27","85.8","-1.8787","5.3480","Masahiro Tanaka",455759,547888,"null","ball",,,,,"14","null","R","R","R","NYY","LAA","B","null","null",1,1,2018,"-1.4865","0.7784","0.7187","0.7103","null","null","null",2,5,"Top","null","null",,,596142,,"180527_191250","8.9737","-124.3464","-6.0890","-16.9780","26.4300","-23.2441","3.4670","1.5890","null","null","null","84.5270","1576","5.8190",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.6794","null","null","null","null","null","null","null",40,"3","Split Finger",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"FS","2018-05-27","87.5","-2.1792","5.3351","Masahiro Tanaka",455759,547888,"null","called_strike",,,,,"3","null","R","R","R","NYY","LAA","S","null","null",1,0,2018,"-0.1013","1.2143","0.3007","2.8940","null","null","null",2,5,"Top","null","null",,,596142,,"180527_191237","6.1211","-127.1737","-2.1562","-2.3574","26.6058","-19.0667","3.4670","1.5890","null","null","null","86.5500","2359","5.7940",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.7040","null","null","null","null","null","null","null",40,"2","Split Finger",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"FS","2018-05-27","87.7","-2.1328","5.3569","Masahiro Tanaka",455759,547888,"null","ball",,,,,"12","null","R","R","R","NYY","LAA","B","null","null",0,0,2018,"-0.1375","1.2759","1.0130","3.5187","null","null","null",2,5,"Top","null","null",,,596142,,"180527_191224","7.8271","-127.3944","-0.8492","-3.2067","28.2805","-18.6016","3.4670","1.5890","null","null","null","86.7920","2274","5.9900",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.5079","null","null","null","null","null","null","null",40,"1","Split Finger",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SI","2018-05-27","86.9","-1.9091","5.4573","Masahiro Tanaka",594777,547888,"field_out","hit_into_play",,,,,"8","Kole Calhoun grounds out to first baseman Greg Bird.  ","R","L","R","NYY","LAA","X",3,"ground_ball",2,2,2018,"-1.5986","0.7876","-0.2362","1.6961","null","null","null",1,5,"Top","159.09","161.87",,,596142,,"180527_191142","7.0982","-126.2470","-4.3609","-18.1262","24.2073","-23.3138","3.3010","1.5040","6","72.2","-14.6870","85.9970","1540","5.6690",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.8295","0.063","0.053","0.00",1,0,0,2,39,"5","Sinker",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","84.1","-2.1180","5.2972","Masahiro Tanaka",594777,547888,"null","ball",,,,,"13","null","R","L","R","NYY","LAA","B","null","null",1,2,2018,"0.2810","0.3646","-1.0148","1.6882","null","null","null",1,5,"Top","null","null",,,596142,,"180527_191120","1.9865","-122.2979","-2.6202","2.3272","24.7615","-28.3690","3.3010","1.5040","null","null","null","82.7260","2556","5.4670",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0308","null","null","null","null","null","null","null",39,"4","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","85.5","-2.2507","5.2390","Masahiro Tanaka",594777,547888,"null","ball",,,,,"14","null","R","L","R","NYY","LAA","B","null","null",0,2,2018,"0.4198","0.0811","0.8225","0.8077","null","null","null",1,5,"Top","null","null",,,596142,,"180527_191054","6.3064","-124.0754","-4.1785","2.8462","26.3204","-30.7565","3.3010","1.5040","null","null","null","83.7830","2613","5.4460",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0522","null","null","null","null","null","null","null",39,"3","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"FS","2018-05-27","85.0","-2.2136","5.3870","Masahiro Tanaka",594777,547888,"null","foul",,,,,"13","null","R","L","R","NYY","LAA","S","null","null",0,1,2018,"-1.1523","0.5898","-0.9786","2.1711","null","null","null",1,5,"Top","null","null",,,596142,,"180527_191018","5.0589","-123.4643","-2.2706","-12.4907","26.2936","-26.1207","3.3010","1.5040","null","null","null","83.5280","1489","5.5740",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.9241","null","null","null","null","null","null","null",39,"2","Split Finger",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","82.6","-2.3099","5.3315","Masahiro Tanaka",594777,547888,"null","called_strike",,,,,"4","null","R","L","R","NYY","LAA","S","null","null",0,0,2018,"0.6120","0.2659","-0.8264","2.7046","null","null","null",1,5,"Top","null","null",,,596142,,"180527_191001","2.1861","-119.9715","0.0938","5.2031","25.3668","-30.0245","3.3010","1.5040","null","null","null","80.7230","2472","5.3200",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.1786","null","null","null","null","null","null","null",39,"1","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","84.5","-2.1035","5.3031","Masahiro Tanaka",455117,547888,"strikeout","swinging_strike",,,,,"14","Martin Maldonado strikes out swinging.  ","R","R","R","NYY","LAA","S",2,"null",0,2,2018,"0.0391","0.1692","0.6701","1.0239","null","null","null",0,5,"Top","null","null",,,596142,,"180527_190832","6.2720","-122.6510","-3.7880","-0.9750","26.5028","-29.9929","3.3710","1.5350","null","null","null","82.7580","2388","5.4770",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0214","null","null","0.00",1,0,0,"null",38,"4","Slider",3,0,0,3,0,3,0,3,"Standard","Standard"
"CU","2018-05-27","80.0","-1.8629","5.6723","Masahiro Tanaka",455117,547888,"null","foul",,,,,"12","null","R","R","R","NYY","LAA","S","null","null",0,2,2018,"0.1876","-0.4997","0.9284","2.7296","null","null","null",0,5,"Top","null","null",,,596142,,"180527_190807","5.7096","-116.2545","1.0963","0.6179","21.0216","-37.0215","3.3710","1.5350","84","68.7","9.5494","78.7320","2534","5.3950",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.1031","null","null","null","null","null","null","null",38,"3","Curveball",3,0,0,3,0,3,0,3,"Standard","Standard"
