日時,曜日,相手,球場,開始,観衆,勝敗,得,失,打数,安打,本塁,盗塁,失策,攻撃,回数,被安,被本,四死球,自責,HA,カ,ナ,サ
9/2,土,ソフトバンク,ヤフオクドーム,14:00,38585,●,1,3,30,4,0,2,0,9,8    ,7,0,2,3,1,43,0,0
9/3,日,ソフトバンク,ヤフオクドーム,13:00,38585,●,0,1,29,4,0,0,2,9,8 2/3,5,0,1,1,1,43,0,1
9/5,火,日本ハム,富山,18:00,17507,○,6,1,37,10,1,0,0,9,9    ,3,0,2,1,1,44,1,1
9/7,木,日本ハム,東京ドーム,18:00,39495,○,6,4,36,11,0,1,0,9,9    ,8,1,6,4,1,44,1,0
9/8,金,オリックス,Koboパーク宮城,18:00,24506,●,2,4,30,5,0,0,1,9,9    ,13,0,2,3,0,45,1,-
9/9,土,オリックス,Koboパーク宮城,14:00,25123,●,3,5,33,7,1,0,2,9,9    ,8,1,4,5,0,45,0,-
9/10,日,オリックス,Koboパーク宮城,13:00,24324,○,2,1,28,5,1,0,0,8,9    ,6,0,5,1,0,45,0,-
9/12,火,日本ハム,札幌ドーム,18:00,29648,●,0,7,29,3,0,0,0,9,8    ,7,2,3,7,1,46,1,0
9/13,水,西武,Koboパーク宮城,18:00,26451,●,3,7,35,7,1,0,1,9,9    ,11,1,5,6,0,47,1,-
9/14,木,西武,Koboパーク宮城,18:00,21514,●,1,2,32,5,0,0,0,9,9    ,6,0,4,2,0,47,1,-
9/16,土,ロッテ,Koboパーク宮城,14:00,25181,○,13,5,33,12,2,0,1,8,9    ,11,2,2,4,0,48,0,-
9/17,日,ロッテ,Koboパーク宮城,13:00,,中止,,,0,0,0,0,0,0,0    ,0,0,0,0,0,48,0,0
9/18,月,ロッテ,Koboパーク宮城,13:00,24828,○,4,3,30,7,0,0,0,9,9    ,8,0,3,3,0,48,0,-
9/19,火,日本ハム,Koboパーク宮城,18:00,23631,○,6,0,36,13,2,0,0,8,9    ,3,0,0,0,0,49,1,-
9/20,水,オリックス,Koboパーク宮城,18:00,22907,●,4,8,37,11,3,0,2,9,9    ,10,2,2,7,0,50,1,-
9/21,木,オリックス,Koboパーク宮城,18:00,23460,●,4,7,32,7,1,0,0,9,9    ,8,3,1,7,0,50,1,-
9/23,土,ソフトバンク,ヤフオクドーム,18:00,38585,○,3,1,34,9,1,0,1,9,9    ,5,0,5,1,1,51,1,0
9/24,日,ソフトバンク,ヤフオクドーム,14:00,38585,●,3,4,29,5,1,0,1,9,8    ,5,1,1,1,1,51,0,0
9/25,月,ソフトバンク,ヤフオクドーム,18:00,32444,○,10,2,34,10,1,0,0,9,9    ,8,1,0,2,1,51,1,2
9/28,木,日本ハム,札幌ドーム,18:00,17868,●,3,4,32,10,0,1,0,9,8 1/3,11,2,1,4,1,52,1,1
9/29,金,日本ハム,札幌ドーム,18:00,24098,○,3,0,34,9,2,1,0,9,9    ,9,0,12,0,1,52,1,0
9/30,土,ロッテ,Koboパーク宮城,18:00,25815,●,3,4,35,9,0,2,0,9,9    ,8,2,2,4,0,53,1,-
10/1,日,ロッテ,Koboパーク宮城,14:00,26430,●,2,5,27,5,0,0,0,9,9    ,7,1,4,5,0,53,0,-
10/2,月,西武,メットライフ,18:00,19631,○,2,1,33,8,1,0,0,9,9    ,7,0,4,1,1,54,1,0
10/3,火,西武,メットライフ,18:00,21611,●,3,10,31,6,0,0,0,9,8    ,16,4,1,10,1,54,1,0
10/4,水,ロッテ,ZOZOマリン,18:15,16843,△,1,1,46,11,0,1,0,12,12    ,10,0,5,1,1,55,1,0
10/5,木,ロッテ,ZOZOマリン,18:15,20278,●,2,3,31,6,0,1,1,9,8 2/3,7,0,0,3,1,55,1,1
10/7,土,オリックス,京セラD大阪,18:00,27462,○,7,0,38,13,0,0,3,9,9    ,2,0,2,0,1,56,1,0
10/8,日,ソフトバンク,Koboパーク宮城,18:00,26066,○,2,0,30,7,1,0,1,8,9    ,7,0,0,0,0,57,1,-
10/9,月,日本ハム,Koboパーク宮城,14:00,26510,●,1,3,34,9,0,0,2,9,9    ,7,0,4,1,0,58,0,-
10/10,火,ロッテ,Koboパーク宮城,13:00,20379,○,5,0,28,8,0,0,0,8,9    ,4,0,2,0,0,59,0,-
