"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-13","94.6","-2.2372","5.9988","Shohei Ohtani",596146,660271,"field_out","hit_into_play",,,,,"3","Max Kepler flies out to right fielder Kole Calhoun.  ","R","L","R","LAA","MIN","X",9,"fly_ball",3,1,2018,"-0.4817","1.1330","0.2934","3.2035","null","572821.00","null",0,6,"Top","172.55","83.47",,,455117,,"180513_215834","7.7358","-137.7053","-4.2095","-7.8614","29.5121","-16.8748","3.2739","1.3865","282","79.6","39.7030","95.3570","1966","6.6310",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"53.8692","0.013","0.010","0.00",1,0,0,3,42,"5","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-05-13","93.7","-2.1795","6.0579","Shohei Ohtani",596146,660271,"null","called_strike",,,,,"8","null","R","L","R","LAA","MIN","S","null","null",3,0,2018,"-0.7549","1.5608","-0.0371","2.0248","null","572821.00","null",0,6,"Top","null","null",,,455117,,"180513_215803","7.2072","-136.1005","-8.1326","-10.9606","29.1152","-11.1665","3.4103","1.6949","null","null","null","93.8430","2240","6.4170",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.0830","null","null","null","null","null","null","null",42,"4","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-05-13","96.7","-2.3083","5.9630","Shohei Ohtani",596146,660271,"null","ball",,,,,"11","null","R","L","R","LAA","MIN","B","null","null",2,0,2018,"-0.7153","1.3303","-1.0046","3.8981","null","572821.00","null",0,6,"Top","null","null",,,455117,,"180513_215744","5.1777","-140.8487","-3.0920","-10.7996","30.0126","-13.6636","3.4331","1.6594","null","null","null","97.8550","2089","6.7500",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"53.7500","null","null","null","null","null","null","null",42,"3","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-05-13","99.2","-2.2658","5.9580","Shohei Ohtani",596146,660271,"null","blocked_ball",,,,,"14","null","R","L","R","LAA","MIN","B","null","null",1,0,2018,"-0.6024","1.3941","1.5258","-0.3828","null","572821.00","null",0,6,"Top","null","null",,,455117,,"180513_215711","11.7838","-143.3156","-15.1111","-11.1664","34.0865","-9.4303","3.4103","1.6139","null","null","null","98.9930","2288","6.6370",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"53.8630","null","null","null","null","null","null","null",42,"2","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FS","2018-05-13","86.0","-2.3166","6.0120","Shohei Ohtani",596146,660271,"null","ball",,,,,"14","null","R","L","R","LAA","MIN","B","null","null",0,0,2018,"-0.3531","-0.2168","1.2806","-0.1552","null","null","572821.00",0,6,"Top","null","null",,,455117,,"180513_215604","9.1720","-124.7599","-7.8544","-5.4803","24.8107","-33.0829","3.4558","1.6594","null","null","null","85.4660","1130","6.0890",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.4106","null","null","null","null","null","null","null",42,"1","Split Finger",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-05-13","96.0","-2.2829","6.0299","Shohei Ohtani",572821,660271,"walk","ball",,,,,"14","Brian Dozier walks.  ","R","R","R","LAA","MIN","B","null","null",3,1,2018,"-0.6879","1.2958","1.2487","2.0994","null","null","null",0,6,"Top","null","null",,,455117,,"180513_215521","10.8712","-139.2674","-7.6899","-11.3390","30.5263","-13.8299","2.8804","1.3536","null","null","null","95.8530","2165","6.3200",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.1795","null","null","0.70",1,0,0,"null",41,"5","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-05-13","77.5","-2.4091","5.9861","Shohei Ohtani",572821,660271,"null","ball",,,,,"7","null","R","R","R","LAA","MIN","B","null","null",2,1,2018,"1.5710","-0.2474","-0.6635","1.6471","null","null","null",0,6,"Top","null","null",,,455117,,"180513_215458","0.8825","-112.7417","-1.7946","12.9544","23.0783","-34.1339","2.8449","1.4151","null","null","null","76.7590","2392","6.0590",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.4403","null","null","null","null","null","null","null",41,"4","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-05-13","80.0","-2.4032","6.0361","Shohei Ohtani",572821,660271,"null","ball",,,,,"14","null","R","R","R","LAA","MIN","B","null","null",1,1,2018,"1.1887","-0.0060","0.8783","1.4728","null","null","null",0,6,"Top","null","null",,,455117,,"180513_215431","4.9890","-116.3051","-3.2379","9.5247","23.9987","-31.8181","2.9914","1.3506","null","null","null","79.0990","2377","5.9390",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.5603","null","null","null","null","null","null","null",41,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-05-13","79.5","-2.3961","6.0395","Shohei Ohtani",572821,660271,"null","ball",,,,,"12","null","R","R","R","LAA","MIN","B","null","null",0,1,2018,"1.1353","0.3370","0.1474","3.4669","null","null","null",0,6,"Top","null","null",,,455117,,"180513_215412","3.4499","-115.6673","0.5450","9.3879","23.3316","-29.5299","3.0501","1.3638","null","null","null","79.1370","2361","6.2300",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.2702","null","null","null","null","null","null","null",41,"2","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-05-13","93.7","-2.1993","6.2350","Shohei Ohtani",572821,660271,"null","foul",,,,,"12","null","R","R","R","LAA","MIN","S","null","null",0,0,2018,"-0.5895","1.1379","0.0492","3.4049","null","null","null",0,6,"Top","null","null",,,455117,,"180513_215354","7.1348","-136.3008","-4.1270","-8.9025","28.7252","-17.2234","2.7410","1.0546","206","79.8","59.1555","94.1270","2006","6.4660",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.0333","null","null","null","null","null","null","null",41,"1","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
